,1-10959,1-10960,1-4365,1-4029,MLG05,1-4780,1-0278,1-4562,1-4649,1-8592,1-1350,MLG16,1-4163,1-3295,1-1317,1-1258,1-2423,1-6098,1-4314,MLG02,1-2151,MLG06,1-0303,MLG17,MLG11,1-4319,1-5091,1-0334,1-2854,MLG07,MLG04,MLG29,1-7621,1-2382,1-1131,MLG03,1-5893,MLG10,1-0157,MLG19,MLG31,MLG30,1-1165,1-2545,1-5272,1-5960,1-4619,1-10615,1-10728,1-4542,MLG22,MLG32,MLG56,1-0053,1-2912,1-0292,MLG21,MLG52,1-1137,MLG24,MLG08,MLG13,MLG48,MLG09,MLG12,1-5344,MLG27,1-0094,MLG51,MLG42,1-12754,MLG26,1-1191,1-15913,1-6181,1-1224,1-5993,1-4399,1-3447,1-0129,MLG18,1-1833,1-16017,MLG15,1-5899,1-5184,1-11160,1-10616,1-5971,MLG75,1-15351,1-5900,1-0188,1-1307,MLG23,MLG58,1-1462,MLG59,1-10660,1-0272,MLG33,MLG36,MLG37,MLG39,MLG41,1-5022,1-5775,1-6079,1-1607,1-5811,MLG28,MLG34,MLG35,1-7866,MLG45,1-0296,MLG57,1-2701,1-2879,1-15424,1-4636,1-1204,1-7140,MLG40,MLG44,MLG43,MLG46,1-7863,1-6006,1-3103,MLG25,MLG62,1-5754,1-5972,1-6092,1-5151,1-8695,1-9234,1-5620,1-7987,1-5275,MLG54,1-6580,1-13160,1-9227,1-5214,1-4020,1-10492,1-4881,MLG14,1-6915,1-7024,1-1570,MLG50,1-5911,1-8067,MLG53,1-5953,1-5616,1-5757,1-3489,MLG49,1-7807,1-7176,MLG60,MLG69,MLG68,1-2294,1-4013,1-3033,10049,1-3523,1-7981,1-8086,1-10468,1-5626,MLG38,1-3929,1-3432,1-15114,1-7682,1-9256,MLG64,1-2974,1-2573,MLG79,1-5368,MLG20,1-0205,1-10301,1-15920,10026,MLG63,1-7004,1-2270,MLG78,1-2966,1-5283,1-13951,1-2922,1-11634,1-13482,1-5717,1-5197,1-1025,1-1580,mlg03,1-5248,1-3564,1-3244,1-1769,1-6720,1-6212,1-8341,1-5216,1-11967,MLG01,1-11535,1-7615,1-5820,1-1608,1-6592,MLG47,1-1319,1-6247,1-7865,1-1006,4455,1-4654,1-2400,1-1616,1-5355,1-16340,1-5927,1-8761,1-12724,1-8188,1-3543,1-3953,1-4640,1-9156,1-5447,1-3354,1-6222,1-15218,1-6090,1-6240,1-9283,8862,1-14157,1-5727,1-7005,1-13743,1-1021,1-7496,1-4966,1-16285,1-5961,1-2633,1-2836,1-14185,1-3509,1-3285,mlg26,1-6091,1-5664,1-12956,1-9085,1-1649,1-3332,1-3940,1-7710,1-3952,5862,1-10785,1-6770,1-1250,MLG55,1-1004,1-10841,1-7401,4579,1-11023,1-17086,1-6035,1-0341,1-13136,1-2999,1-1568,1-5452,1-5828,1-11174,1-5273,1-6591,1-12128,1-15924,1-1494,1-8689,1-6948,1-15326,1-3429,1-3535,1-10528,1-12957,1-3310,1-5937,mlg65,1-18799,4578,1-10812,1-15325,1-4041,1-4278,1-5071,1-1005,1-4929,1-5932,1-10629,1-3941,1-12416,1-3534,1-8974,1-10580,1-10582,mlg25,1-5329,1-5921,1-5617,1-0443,1-1207,1-7070,1-1208,mlg33,mlg22,1-18096,1-9375,1-10326,MLG81,1-5649,1-1015,1-16904,1-8995,mlg02,1-11640,1-8084,1-11757,1-8066,1-9198,5844,mlg34,7W2-18273,1-1605,1-9393,1757,MLG72,7074,1-10416,1-7600,1-5236,1-1637,1-3596,1797,5845,9172,1-8990,4467,1-17516,1-12310,1-16002,mlg35,1-8328,1-11110,1-10618,11431,MLG73,mlg75,10044,2891,9868,1-2670,1-0358,1-0434,1-9137,mlg19,1-4179,1-4052,4466,1-19443,1-14158,1-5541,1-18028,1-8038,1-6296,9957,1-12829,1-16782,1-4126,8919,1-5471,1-2410
1-10959,0,5,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10960,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-4365,0,0,0,0,0,36,26,0,0,0,0,5,4,3,0,0,0,13,23,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-4029,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MLG05,0,0,0,0,0,0,0,0,19,1,3,158,99,55,43,44,0,6,0,27,20,21,43,19,0,9,7,5,37,1,4,0,7,10,6,11,9,0,25,23,7,1,3,3,9,16,9,1,8,10,15,0,8,4,17,5,52,7,5,7,1,11,0,0,0,14,3,25,0,0,14,0,5,5,2,0,35,0,5,0,19,1,0,7,21,0,0,0,37,0,0,18,0,20,3,0,0,0,0,1,0,0,0,0,3,8,2,0,0,1,2,0,0,0,0,1,0,0,6,15,0,2,1,0,0,0,0,0,6,0,0,0,3,19,4,1,1,7,0,0,0,4,2,3,0,0,1,0,1,0,0,0,0,4,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,5,0,0,0,31,0,0,0,0,14,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,9,0,0,0,0,0,6,2,0,0,0,0,19,0,0,0,0,1,6,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,2,0,5,0,0,0,5,1,2,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,8,0,0,0,0,4,4,0,0,0,0,2,0,4,0,0,34,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,15,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0
1-4780,1,0,36,0,0,0,45,0,0,0,0,0,0,0,0,3,11,2,19,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1-0278,0,0,26,0,0,45,0,0,0,0,4,0,7,8,0,1,42,16,7,0,2,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,1,0,0,3,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,10,1,0,2,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
1-4562,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-4649,0,0,0,0,19,0,0,0,0,2,2,0,15,4,40,8,2,17,0,37,13,19,8,1,3,19,5,2,0,1,8,0,0,1,2,8,2,5,12,3,0,3,0,0,0,2,10,1,5,15,0,2,0,0,0,0,2,2,6,21,1,0,0,0,5,1,29,2,2,6,0,28,0,6,10,6,5,0,6,6,3,2,8,3,0,33,0,0,3,0,3,2,16,2,2,7,0,5,0,0,3,8,3,21,4,7,2,0,2,2,10,0,1,0,1,1,0,0,0,9,3,3,2,2,1,3,0,0,3,0,5,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0,0,0,12,9,2,1,3,2,0,0,0,4,13,6,8,0,0,5,3,0,0,1,0,0,1,4,1,3,2,1,12,1,5,2,0,1,1,0,0,0,1,0,0,0,4,1,2,0,0,2,0,0,5,0,0,2,1,0,0,0,0,0,2,0,7,0,2,0,3,0,4,0,0,0,1,3,1,1,0,1,2,1,0,0,0,0,4,4,2,0,0,0,0,0,1,0,0,2,1,4,3,0,4,0,0,0,0,1,1,3,3,5,0,0,0,0,0,0,2,4,1,0,0,0,1,4,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,7,0,3,2,0,1,0,0,7,0,0,0,2,5,1,0,0,2,2,0,0,3,3,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,5,4,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,5,4,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,4,1,0,5,0,0,0,4,0,1,0,0,1,5,0
1-8592,1,0,0,0,1,0,0,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
